Timestamp_,P_,R_,Y_,TimestampM,P,R,Y
3165894433378,0,0,0,1582947216689,0,0,0
3165894433379,0,0,0,1582947216689,0,0,0
3165894433383,0,0,0,1582947216691,0,0,0
3165894433383,0,0,0,1582947216691,0,0,0
3165894433384,0,0,0,1582947216692,0,0,0
3165894433384,0,0,0,1582947216692,0,0,0
3165894433384,0,0,0,1582947216692,0,0,0
3165894433385,0,0,0,1582947216692,0,0,0
3165894433385,0,0,0,1582947216692,0,0,0
3165894433389,0,0,0,1582947216694,0,0,0
3165894433483,0,0,0,1582947216741,0,0,0
3165894433484,0,0,0,1582947216742,0,0,0
3165894433484,0,0,0,1582947216742,0,0,0
3165894433484,0,0,0,1582947216742,0,0,0
3165894433489,0,0,0,1582947216744,0,0,0
3165894433541,0,0,0,1582947216770,0,0,0
3165894433541,0,0,0,1582947216770,0,0,0
3165894433552,0,0,0,1582947216776,0,0,0
3165894433632,0,0,0,1582947216816,0,0,0
3165894433633,0,0,0,1582947216816,0,0,0
3165894433633,0,0,0,1582947216816,0,0,0
3165894433633,0,0,0,1582947216816,0,0,0
3165894433698,0,0,0,1582947216849,0,0,0
3165894433699,0,0,0,1582947216849,0,0,0
3165894433699,0,0,0,1582947216849,0,0,0
3165894433710,0,0,0,1582947216855,0,0,0
3165894433798,0,0,0,1582947216899,0,0,0
3165894433798,0,0,0,1582947216899,0,0,0
3165894433799,0,0,0,1582947216899,0,0,0
3165894433800,0,0,0,1582947216900,0,0,0
3165894433810,0,0,0,1582947216905,0,0,0
3165894433831,0,0,0,1582947216915,0,0,0
3165894433889,0,0,0,1582947216944,0,0,0
3165894433890,0,0,0,1582947216945,0,0,0
3165894433890,0,0,0,1582947216945,0,0,0
3165894433911,0,0,0,1582947216955,0,0,0
3165894433931,0,0,0,1582947216965,0,0,0
3165894433951,0,0,0,1582947216975,0,0,0
3165894433971,0,0,0,1582947216985,0,0,0
3165894433991,0,0,0,1582947216995,0,0,0
3165894434011,0,0,0,1582947217005,0,0,0
3165894434031,0,0,0,1582947217015,0,0,0
3165894434052,0,0,0,1582947217026,0,0,0
3165894434072,0,0,0,1582947217036,0,0,0
3165894434092,0,0,0,1582947217046,0,0,0
3165894434112,0,0,0,1582947217056,0,0,0
3165894434132,0,0,0,1582947217066,0,0,0
3165894434152,0,0,0,1582947217076,0,0,0
3165894434173,0,0,0,1582947217086,0,0,0
3165894434192,0,0,0,1582947217096,0,0,0
3165894434212,0,0,0,1582947217106,0,0,0
3165894434232,0,0,0,1582947217116,0,0,0
3165894434252,0,0,0,1582947217126,0,0,0
3165894434273,0,0,0,1582947217136,0,0,0
3165894434293,0,0,0,1582947217146,0,0,0
3165894434313,0,0,0,1582947217156,0,0,0
3165894434333,0,0,0,1582947217166,0,0,0
3165894434353,0,0,0,1582947217176,0,0,0
3165894434373,0,0,0,1582947217186,0,0,0
3165894434393,0,0,0,1582947217196,0,0,0
3165894434413,0,0,0,1582947217206,0,0,0
3165894434434,0,0,0,1582947217217,0,0,0
3165894434453,0,0,0,1582947217226,0,0,0
3165894434474,0,0,0,1582947217237,0,0,0
3165894434494,0,0,0,1582947217247,0,0,0
3165894434514,0,0,0,1582947217257,0,0,0
3165894434534,0,0,0,1582947217267,0,0,0
3165894434554,0,0,0,1582947217277,0,0,0
3165894434574,0,0,0,1582947217287,0,0,0
3165894434594,0,0,0,1582947217297,0,0,0
3165894434614,0,0,0,1582947217307,0,0,0
3165894434634,0,0,0,1582947217317,0,0,0
3165894434654,0,0,0,1582947217327,0,0,0
3165894434675,0,0,0,1582947217337,0,0,0
3165894434694,0,0,0,1582947217347,0,0,0
3165894434715,0,0,0,1582947217357,0,0,0
3165894434735,0,0,0,1582947217367,0,0,0
3165894434755,0,0,0,1582947217377,0,0,0
3165894434775,0,0,0,1582947217387,0,0,0
3165894434795,0,0,0,1582947217397,0,0,0
3165894434815,0,0,0,1582947217407,0,0,0
3165894434835,0,0,0,1582947217417,0,0,0
3165894434855,0,0,0,1582947217427,0,0,0
3165894434875,0,0,0,1582947217437,0,0,0
3165894434895,0,0,0,1582947217447,0,0,0
3165894434915,0,0,0,1582947217457,0,0,0
3165894434936,0,0,0,1582947217468,0,0,0
3165894434955,0,0,0,1582947217477,0,0,0
3165894434976,0,0,0,1582947217488,0,0,0
3165894434996,0,0,0,1582947217498,0,0,0
3165894435016,0,0,0,1582947217508,0,0,0
3165894435036,0,0,0,1582947217518,0,0,0
3165894435056,0,0,0,1582947217528,0,0,0
3165894435076,0,0,0,1582947217538,0,0,0
3165894435096,0,0,0,1582947217548,0,0,0
3165894435116,0,0,0,1582947217558,0,0,0
3165894435136,0,0,0,1582947217568,0,0,0
3165894435156,0,0,0,1582947217578,0,0,0
3165894435176,0,0,0,1582947217588,0,0,0
3165894435197,0,0,0,1582947217598,0,0,0
3165894435217,0,0,0,1582947217608,0,0,0
3165894435237,0,0,0,1582947217618,0,0,0
3165894435257,0,0,0,1582947217628,0,0,0
3165894435277,0,0,0,1582947217638,0,0,0
3165894435297,0,0,0,1582947217648,0,0,0
3165894435317,0,0,0,1582947217658,0,0,0
3165894435337,0,0,0,1582947217668,0,0,0
3165894435357,0,0,0,1582947217678,0,0,0
3165894435377,0,0,0,1582947217688,0,0,0
3165894435397,0,0,0,1582947217698,0,0,0
3165894435417,0,0,0,1582947217708,0,0,0
3165894435437,0,0,0,1582947217718,0,0,0
3165894435458,0,0,0,1582947217729,0,0,0
3165894435478,0,0,0,1582947217739,0,0,0
3165894435498,0,0,0,1582947217749,0,0,0
3165894435518,0,0,0,1582947217759,0,0,0
3165894435538,0,0,0,1582947217769,0,0,0
3165894435558,0,0,0,1582947217779,0,0,0
3165894435578,0,0,0,1582947217789,0,0,0
3165894435598,0,0,0,1582947217799,0,0,0
3165894435618,0,0,0,1582947217809,0,0,0
3165894435638,0,0,0,1582947217819,0,0,0
3165894435658,0,0,0,1582947217829,0,0,0
3165894435680,0,0,0,1582947217840,0,0,0
3165894435699,0,0,0,1582947217849,0,0,0
3165894435718,0,0,0,1582947217859,0,0,0
3165894435739,0,0,0,1582947217869,0,0,0
3165894435759,0,0,0,1582947217879,0,0,0
3165894435779,0,0,0,1582947217889,0,0,0
3165894435799,0,0,0,1582947217899,0,0,0
3165894435819,0,0,0,1582947217909,0,0,0
3165894435839,0,0,0,1582947217919,0,0,0
3165894435859,0,0,0,1582947217929,0,0,0
3165894435879,0,0,0,1582947217939,0,0,0
3165894435899,0,0,0,1582947217949,0,0,0
3165894435919,0,0,0,1582947217959,0,0,0
3165894435940,0,0,0,1582947217970,0,0,0
3165894435960,0,0,0,1582947217980,0,0,0
3165894435980,0,0,0,1582947217990,0,0,0
3165894436000,0,0,0,1582947218000,0,0,0
3165894436020,0,0,0,1582947218010,0,0,0
3165894436040,0,0,0,1582947218020,0,0,0
3165894436060,0,0,0,1582947218030,0,0,0
3165894436080,0,0,0,1582947218040,0,0,0
3165894436100,0,0,0,1582947218050,0,0,0
3165894436121,0,0,0,1582947218060,0,0,0
3165894436140,0,0,0,1582947218070,0,0,0
3165894436160,0,0,0,1582947218080,0,0,0
3165894436181,0,0,0,1582947218090,0,0,0
3165894436201,0,0,0,1582947218100,0,0,0
3165894436221,0,0,0,1582947218110,0,0,0
3165894436241,0,0,0,1582947218120,0,0,0
3165894436261,0,0,0,1582947218130,0,0,0
3165894436281,0,0,0,1582947218140,0,0,0
3165894436301,0,0,0,1582947218150,0,0,0
3165894436321,0,0,0,1582947218160,0,0,0
3165894436341,0,0,0,1582947218170,0,0,0
3165894436362,0,0,0,1582947218181,0,0,0
3165894436381,0,0,0,1582947218190,0,0,0
3165894436401,0,0,0,1582947218200,0,0,0
3165894436421,0,0,0,1582947218210,0,0,0
3165894436442,0,0,0,1582947218221,0,0,0
3165894436462,0,0,0,1582947218231,0,0,0
3165894436482,0,0,0,1582947218241,0,0,0
3165894436502,0,0,0,1582947218251,0,0,0
3165894436522,0,0,0,1582947218261,0,0,0
3165894436542,0,0,0,1582947218271,0,0,0
3165894436562,0,0,0,1582947218281,0,0,0
3165894436582,0,0,0,1582947218291,0,0,0
3165894436602,0,0,0,1582947218301,0,0,0
3165894436622,0,0,0,1582947218311,0,0,0
3165894436642,0,0,0,1582947218321,0,0,0
3165894436662,0,0,0,1582947218331,0,0,0
3165894436683,0,0,0,1582947218341,0,0,0
3165894436703,0,0,0,1582947218351,0,0,0
3165894436723,0,0,0,1582947218361,0,0,0
3165894436743,0,0,0,1582947218371,0,0,0
3165894436763,0,0,0,1582947218381,0,0,0
3165894436784,0,0,0,1582947218392,0,0,0
3165894436803,0,0,0,1582947218401,0,0,0
3165894436823,0,0,0,1582947218411,0,0,0
3165894436843,0,0,0,1582947218421,0,0,0
